package,deepseek_r1,llama_3_1,gpt_5_4_mini
https://github.com/affaan-m/ECC,False,True,False
https://github.com/NousResearch/hermes-agent,True,True,True
https://github.com/anthropics/skills,False,True,True
https://github.com/Snailclimb/JavaGuide,True,False,False
https://github.com/langflow-ai/langflow,False,True,True
https://github.com/langgenius/dify,False,True,True
https://github.com/langchain-ai/langchain,False,False,False
https://github.com/anthropics/claude-code,True,True,True
https://github.com/Shubhamsaboo/awesome-llm-apps,False,True,True
https://github.com/browser-use/browser-use,False,True,False
https://github.com/google-gemini/gemini-cli,True,True,True
https://github.com/TauricResearch/TradingAgents,False,True,False
https://github.com/thedotmack/claude-mem,False,False,True
https://github.com/earendil-works/pi,False,False,False
https://github.com/addyosmani/agent-skills,False,True,False
https://github.com/nexu-io/open-design,False,True,True
https://github.com/koala73/worldmonitor,True,True,True
https://github.com/lobehub/lobehub,False,True,True
https://github.com/bytedance/deer-flow,False,True,True
https://github.com/paperclipai/paperclip,False,True,True
https://github.com/opendatalab/MinerU,False,False,True
https://github.com/Leonxlnx/taste-skill,False,True,False
https://github.com/shareAI-lab/learn-claude-code,False,False,True
https://github.com/hiyouga/LlamaFactory,False,True,True
https://github.com/datawhalechina/hello-agents,True,True,True
https://github.com/OpenBB-finance/OpenBB,False,False,False
https://github.com/Panniantong/Agent-Reach,False,True,False
https://github.com/unslothai/unsloth,False,True,True
https://github.com/FoundationAgents/MetaGPT,False,True,False
https://github.com/code-yeongyu/oh-my-openagent,False,True,True
https://github.com/ruvnet/ruflo,False,False,False
https://github.com/headroomlabs-ai/headroom,False,True,False
https://github.com/cline/cline,False,True,True
https://github.com/Mintplex-Labs/anything-llm,False,True,True
https://github.com/mem0ai/mem0,False,True,False
https://github.com/microsoft/autogen,False,False,False
https://github.com/mvanhorn/last30days-skill,False,True,True
https://github.com/crewAIInc/crewAI,False,False,False
https://github.com/hesreallyhim/awesome-claude-code,False,True,True
https://github.com/run-llama/llama_index,False,False,False
https://github.com/CherryHQ/cherry-studio,False,True,True
https://github.com/tldraw/tldraw,False,True,False
https://github.com/ChromeDevTools/chrome-devtools-mcp,True,True,False
https://github.com/calesthio/OpenMontage,False,True,True
https://github.com/microsoft/qlib,False,True,False
https://github.com/HKUDS/CLI-Anything,False,True,False
https://github.com/HKUDS/nanobot,False,False,False
https://github.com/zhayujie/CowAgent,True,False,True
https://github.com/stablyai/orca,True,True,True
https://github.com/abhigyanpatwari/GitNexus,False,True,True
https://github.com/sickn33/agentic-awesome-skills,False,True,False
https://github.com/coreyhaines31/marketingskills,False,True,False
https://github.com/danny-avila/LibreChat,True,True,True
https://github.com/666ghj/BettaFish,False,False,True
https://github.com/agno-agi/agno,False,False,False
https://github.com/luongnv89/claude-howto,True,True,True
https://github.com/heygen-com/hyperframes,False,False,False
https://github.com/langchain-ai/langgraph,False,False,False
https://github.com/novuhq/novu,False,True,True
https://github.com/AstrBotDevs/AstrBot,False,True,True
https://github.com/wshobson/agents,False,True,True
https://github.com/bytedance/UI-TARS-desktop,True,True,True
https://github.com/Yeachan-Heo/oh-my-claudecode,False,True,True
https://github.com/chatchat-space/Langchain-Chatchat,False,True,True
https://github.com/github/awesome-copilot,False,False,True
https://github.com/PostHog/posthog,False,True,True
https://github.com/bojieli/ai-agent-book,True,False,True
https://github.com/CopilotKit/CopilotKit,False,True,False
https://github.com/musistudio/claude-code-router,False,True,True
500+ AI Agent Projects & Use Cases,True,False,True
